user_message,ai_response,dialogue_id,response_id,episode_done,source
Feminism gives women the muddled idea that women are free when they serve their employers but slaves when they help their husbands.,"Nope, feminism is believing that a woman can go to work, have a husband, do both or neither, and all of those options are fine as long as it's what she wants to do.",31,0,0.0,DIALCONAN
"It’s ok for who? For the long term of our civilisation? Groups that have more children, like Muslims, will grow and those who don't, like white women, will decline. Women need to be prioritising having a family.","Women don't owe you children, if they don't want to have them and want to prioritise other things instead they have a right to. Children are a big commitment.",31,1,0.0,DIALCONAN
But what about Western civilisation? If the white population doesn't reproduce we will become a minority.,"You're really going to make this about race? It doesn't make a difference to me what ethnicity or religion the children of the future are, we are all human!",31,2,1.0,DIALCONAN
Did the holocaust really happen? You can't trust Jews to give you an honest account of anything.,"Yes, there's plenty of evidence. Literal camps you can go and visit, 6 million people dead, leaving behind families and loved ones. How can you deny something that there's so much evidence of?",107,0,0.0,DIALCONAN
It could all be set up. I don't know if I believe Auschwitz ever really happened.,"If you think the holocaust is all 'set up' you need to stop reading so many conspiracy theories and get a grip on reality. Not everything is a plot or a scheme, some things are real!",107,1,1.0,DIALCONAN
"There are migrants in England, we are not meant to have them.",What about refugees fleeing war and persecution? They have the right to be here.,653,0,0.0,DIALCONAN
"They might have the right to be here, but not to take our houses. British people should have right to social housing, not immigrants.","Many councils have ‘local connection’ rules in favour of long-standing residents, rather than newcomers such as migrants.",653,1,0.0,DIALCONAN
"Ok then, what about all those immigrants that turned out to be a bunch of criminals and terrorists?","The terrorist attacks in EU have been devastating for people across the continent. The 'hated' do not feel welcome and the whole thing is deeply concerning for a host of reasons. Still, the sentiments of 'we hate foreigners' is not the solution: it is counterproductive and distorts the truth.",653,2,0.0,DIALCONAN
Distorting what?? The truth is that they are rapists and drug dealers. They are ruining our cities and killing our youth. They are obviously invaders invading our beautiful land.,If you really wanted to preserve our beautiful land you could build a wall and bar OUR people from it. Sometimes I feel like UK citizens are the main cause of our problems.,653,3,1.0,DIALCONAN
"If a woman is beaten, it is because her man wants to correct her bad behaviour.",It is estimated that over the 50% of people committing domestic abuse were drunk. It's a complex issue but two things I know for sure: a drunk person is in no position to judge anyone's behaviour and beating a person is ALWAYS wrong.,533,0,0.0,DIALCONAN
Feminists want women in charge in order to revenge being beaten.,Feminists aren't vengeful. Why should we fear a feminist ideology that promotes love and consent?,533,1,0.0,DIALCONAN
"Feminists want women ruling men, that's all.","Feminism is not a gender supremacy ideology, it is about individual rights and the right of every person to choose.",533,2,0.0,DIALCONAN
Men's rights are undeniable. Women come after that.,"How do you know the men's rights are not a threat to the rights of your mother, daugher and women around you? And what are the men's rights you are referring to?",533,3,1.0,DIALCONAN
"I can't stand homosexuals, they are just trouble. ","If a person is gay, they are likely to experience some kind of discrimination in their life. Understanding the problem from the perspective of the people affected by it can help to create a better society.",1411,0,0.0,DIALCONAN
You cannot create a better society as long as there are Gays. They have ruined so many societies.,"It is hard to find examples of a society ruined by homosexuality. Actually, It is hard to find any good examples at all.",1411,1,1.0,DIALCONAN
I hate negros: they killed a cop!,"So are you blaming all of them? Lets say you are in a group of 10 people, 1 is a killer, does that make you ALL killers? Are you serious?",591,0,0.0,DIALCONAN
This is how it is. Whites are the real victims of police brutality: those negroes are sneaky criminals and police is doing nothing.,"Of course there are whites that have been victims of police brutality, but the most important statistic I have seen is that of blacks being 2.5 times more likely to be killed by police in the US.",591,1,0.0,DIALCONAN
"This happens because Blacks are criminals, promiscuous sex addicts, drug addicts, and physically and mentally handicapped. They cannot be civilized.","All cultures have a common background that includes crimes and deviant behavior, regardless of race or ethnicity. If we stop thinking of crime in terms of races, then we can solve it.",591,2,1.0,DIALCONAN
LGBT+ people are a drain on society.,We should not be so judgmental. Just because someone is LGBT doesn't mean that they are a drain on society. They are like any other member of our community.,1120,0,0.0,DIALCONAN
They are not like us. Queers are a problem because they undermine our society. They undermine all values we hold dear.,"Sorry, but you cannot say what you don't have data for. What you might call a ""problem"" from a ""social"" standpoint, I would say is predominantly about economic inequalities, not sexual orientation.",1120,1,1.0,DIALCONAN
The world would be a better place without immigrants. They just make us unhappy.,Immigrants contribute to the creation of new jobs. They are here to live in safer housing and to have better schools for their children.,814,0,0.0,DIALCONAN
"They don't create new jobs, they steal ours.","Many European countries have been in recession since 2010, and this has not much to do with immigrants.",814,1,1.0,DIALCONAN
"All migrants are terrorists, we should target them all.",It's not true that all migrants are terrorists! They just want to live their life in the country they choose as a home.,520,0,0.0,DIALCONAN
"Immigrants are a problem, they are bringing disease and sickness to our country.",Diseases can be prevented by taking proper care of the sick person. Immigrants do not pose a health threat to the general public.,520,1,0.0,DIALCONAN
"But they are a threat nonetheless! Migrants rape our girls, we should stop them.","Rape is a crime and should stopped, wherever the rapist was born.",520,2,1.0,DIALCONAN
Blacks do not want to assimilate.,"Whites, Latinos, Asians and people from all over the world want to be part of our society. So do people of color.",793,0,0.0,DIALCONAN
They can't be part of us. Those blacks are slaves: slavery runs in their blood.,"It is wrong to say that blacks are ""slaves."" This is a very inaccurate, misleading and offensive term that is being used to tar all African Americans. Why do you label black persons as a ""slave"" and not as a ""person""?",793,1,0.0,DIALCONAN
"Blacks have zero respect for others, why should I show this courtesy to them?","It is not true that blacks have zero respect for others. However, I would like to see more respect and protection from white people towards black people.",793,2,1.0,DIALCONAN
Africans are subhuman and should not be part of our society.,We should understand that different skin colors are a part of the human condition. We have the right not to be friends with anyone but we must be just and take into account each person.,800,0,0.0,DIALCONAN
We also mustn't confuse diversity and inclusion with black supremacy.,"Diversity does not mean excluding people from a part of society. What it is about is sharing experiences, ideas of people of different ethnicities. This would help to develop our abilities to understand each other and perhaps to work out ways in which we can all benefit from one another's knowledge.",800,1,0.0,DIALCONAN
"We cannot accept n****rs in our society, I don't have anything to benefit from them!",Perhaps we should rephrase our question to say we don't want racists in our society?,800,2,1.0,DIALCONAN
Black people are worse than dogs.,"My opinion is that black people are just like us even if they have a different skin color, but I don't think they are inherently worse than us.",1208,0,0.0,DIALCONAN
"Are you sure? In history school books you can read about slavery. It is a smart solution for the world. Negroes claim their culture but they don't have any, just like animals.",Sometimes I wish we lived in a world where white people would just chill and love instead of showing such total disrespect for other cultures and histories by constantly oppressing them.,1208,1,1.0,DIALCONAN
There are so many Muslims in the UK that it is a condemnation to have them here.,"Many Muslims live in the UK and we have a lot in common, and what is different between us is not a reason for discrimination.",755,0,0.0,DIALCONAN
"In this case, the difference is too big. Muslims are not welcome in our country.","There are many Muslims living in the UK, proud British citizens who contribute significantly to our country.",755,1,0.0,DIALCONAN
"They're too uncivilized to contribute to anything, they have no place in Europe.",Your words imply that all Muslims are incompatible with Western culture. Do you have any data to back this up?,755,2,1.0,DIALCONAN
Immigrants are a nuisance.,"This is not true, we should make immigrants feel welcome. They are our brothers and sisters.",614,0,0.0,DIALCONAN
"We're welcoming way too many of them, by now we have become a nation of immigrants.","We have always had a very strong working class, and of course immigrants contribute to the creation of this.",614,1,1.0,DIALCONAN
Women say they want equal rights but what they really want is to dominate men.,"Women are not 'against men's rights', they are not 'men's oppressors', and they aren't interested in oppressing anyone.",1453,0,0.0,DIALCONAN
It seems to me that gender equality is actually just a war on masculinity.,"This simply isn't true. A woman has equal rights and does not have to be considered a man's oppressor just because of her gender and legitimate demands. This has been called a ""war on masculinity"" but in reality it is just a ""code word"" for the oppression of women.",1453,1,1.0,DIALCONAN
Jews are a drain on society.,"Many Jews are good people. You should try and talk to them about the terrible things that happened to them, and get to know them better.",1065,0,0.0,DIALCONAN
"Jews are a threat to society, they deserved what happened to them.","Jews are just people with a different faith, and this has nothing to do with being a threat.",1065,1,0.0,DIALCONAN
"It has everything to do with them being a burden, though.","All cultures have their own unique way of life, and Judaism is no exception.",1065,2,1.0,DIALCONAN
"Immigrants are not welcome here, they should leave.",They are welcome to stay if they do not break the law.,623,0,0.0,DIALCONAN
"Immigrants break the law all the time, they should all be deported.","Does it seem like a good idea to deport all immigrants, when there are so many of them peacefully living in the country? What about their human rights?",623,1,1.0,DIALCONAN
These children should not be exposed to messages and experiences that reinforce different racial identities: they are harmful to them. We must teach them that blacks are inferior.,"This is a simplistic and ill-informed argument, and ultimately it just stirs up more division and negativity, like many other racial and religious divisions that have happened throughout history.",1085,0,0.0,DIALCONAN
I am tired of education being used to help blacks and make them think they are equal to us. The division is there for a good cause.,"Education is an essential tool to fight for human rights, free thought, and to promote the scientific method. But it is not enough. It has also been shown by the Pew Research Center that people of colour are more likely to report discrimination in universities.",1085,1,0.0,DIALCONAN
They are discriminated because they are all killers!,"This is a rumor spreading on the web, but violent black people are just like all the other people being violent towards other people. No matter their complexion.",1085,2,0.0,DIALCONAN
"Skin color has a lot to do with it, though, because blacks are inherently violent, they have a propensity for criminality, they are intrinsically unstable, they are all bad with children.","Can you provide some evidence? We have to focus on the prevention of crime, promoting community cohesion and keeping our communities safe. Not on pointing the finger at black people all the time.",1085,3,1.0,DIALCONAN
"We are being invaded by immigrants, we have become too multicultural, it has gone too far.","In reality, millions of immigrants have made contributions to our country, especially to our great spirit of creativity and innovation.",786,0,0.0,DIALCONAN
"I don't want their contribution, I want them to stop invading us.","The US was founded by immigrants, and in 2018 only the 13.7% of the US population was made up of immigrants, the rest being native born.",786,1,1.0,DIALCONAN
Jewish folks are less human.,"Jews should not be persecuted for being Jews, as no one should be persecuted for their religion.",1107,0,0.0,DIALCONAN
